word,freq,freq_rank
Osmanlı,81018,149
cumhuriyet,80520,150
doğu,80015,151
hal,79805,152
sonuç,79491,153
üç,79226,154
yarışmak,79173,155
durum,78903,156
And,78763,157
Grub,78752,158
eğitim,78581,159
Müzik,77684,160
Ordu,77220,161
hayat,75866,162
kuzey,75760,163
tüm,75571,164
liste,75107,165
şark,75088,166
kupa,75008,167
Mart,74463,168
isim,74363,169
bölü,74001,170
kariyer,73244,171
girmek,72953,172
geçmek,72925,173
yapılanmak,72175,174
tarihî,72003,175
şirket,71950,176
resmî,71840,177
çocuk,71555,178
ta,70966,179
final,70764,180
mayıs,70716,181
Ocak,70689,182
birçok,70455,183
erkek,70352,184
katılmak,70122,185
aralık,69946,186
üzere,69725,187
ev,69569,188
üzerine,68993,189
takım,68940,190
kas,68411,191
hareket,67710,192
aile,67591,193
fazla,67418,194
iyi,67141,195
eylül,66805,196
bakmak,66782,197
devam,66483,198
düzenlemek,66235,199
kabul,65856,200
neden,65836,201
küçük,65730,202
haziran,65712,203
ardından,65512,204
birlik,65500,205
kral,65358,206
içinde,64834,207
kez,64757,208
Nisa,64603,209
parça,64353,210
demek,64260,211
ikinci,64227,212
geri,64065,213
rol,63949,214
dizi,63902,215
temmuz,63775,216
bilgi,62886,217
abd,62697,218
atmak,62678,219
şampiyon,62483,220
ağustos,62135,221
Alman,62036,222
yer,61959,223
güney,61503,224
gelen,61349,225
onmak,60996,226
Siyaset,60527,227
özel,60364,228
sağlamak,60305,229
su,60261,230
teknik,60031,231
alınmak,59563,232
baba,59515,233
Frans,59458,234
ün,59175,235
televizyon,58881,236
doğmak,58245,237
kısa,58210,238
merkezî,58143,239
başarı,57826,240
açık,57735,241
uluslararası,57725,242
hem,57654,243
tiyatro,57529,244
şubat,57515,245
açmak,57463,246
ora,57382,247
batı,57213,248
iç,56957,249
Na,56889,250
on,56620,251
çeşitli,56515,252
alan,56453,253
aday,56352,254
Almanya,56281,255
la,55970,256
Fransız,55783,257
içermek,55715,258
anlam,55615,259
yan,55250,260
mahal,55187,261
uzak,55174,262
Ankara,55069,263
sırasında,55030,264
ilgili,54989,265
yakın,54807,266
güç,54425,267
doğru,54332,268
üzerinde,54082,269
dönem,54017,270
değişmek,53727,271
uygulamak,53581,272
okul,53143,273
yeniden,52840,274
New,52729,275
söz,52635,276
kent,52336,277
uzun,52238,278
eyalet,52224,279
gitmek,52128,280
bilmek,51923,281
getirmek,51881,282
ulusal,51752,283
elemek,51623,284
Kuvvet,51183,285
ana,51089,286
sadece,51065,287
ayrılmak,51046,288
Kitap,50956,289
mahalle,50851,290
karakter,50841,291
yolmak,50748,292
hayvan,50646,293
gelişmek,50597,294
program,50484,295
kız,50450,296
özellik,50348,297
olay,50319,298
dil,50229,299
ilişki,49838,300
hizmet,49809,301
nedeniyle,49795,302
yaklaşık,49702,303
bura,49475,304
sıra,49261,305
seçilmek,49221,306
etki,48929,307
video,48889,308
madalya,48795,309
Rus,48766,310
iş,48703,311
yaşam,48606,312
gazete,48432,313
gurbet,48347,314
ön,48158,315
sinema,47968,316
sınır,47841,317
boyunca,47571,318
yönetmen,47465,319
değil,47111,320
şu,46994,321
eser,46954,322
söylemek,46942,323
diz,46925,324
taşımak,46536,325
tanımak,46531,326
dâhil,46418,327
kul,46299,328
site,46138,329
ala,46128,330
gol,46095,331
gerekmek,46008,332
genç,45829,333
familya,45829,334
Sovyet,45650,335
olimpiyat,45479,336
yarı,45060,337
kültür,44996,338
genellikle,44902,339
yönetmek,44696,340
Rusya,44671,341
hükûmet,44574,342
askerî,44551,343
oğul,44422,344
amaç,44099,345
hava,43793,346
dönmek,43721,347
istemek,43703,348
yayımlamak,43646,349
başka,43353,350
coğrafya,43007,351
dört,42938,352
bölüm,42795,353
yardımcı,42615,354
şampiyona,42589,355
bağımsız,42508,356
rom,42292,357
özellikle,42247,358
yerine,42117,359
kısım,41940,360
kardeş,41622,361
Yönet,41607,362
fakat,41173,363
destek,40949,364
düşmek,40943,365
üst,40936,366
Amerikan,40857,367
ait,40473,368
yapım,40418,369
temel,40342,370
tur,40249,371
toprak,40217,372
Kulüp,40020,373
direktör,40015,374
altın,39888,375
asker,39823,376
sınıf,39752,377
ilmek,39619,378
top,39205,379
rağmen,39200,380
oymak,38621,381
seçim,38612,382
spor,38581,383
hakkında,38577,384
cins,38573,385
az,38436,386
birinci,38174,387
geçirmek,38092,388
Çin,38086,389
yön,37930,390
basketbol,37801,391
ali,37759,392
üretmek,37702,393
yol,37625,394
saldırı,37466,395
bili,37292,396
beri,37253,397
altı,37103,398
geliştirmek,37041,399
Kale,36845,400
âmâ,36827,401
zor,36746,402
birkaç,36653,403
ölüm,36602,404
çevre,36567,405
milyon,36548,406
eş,36540,407
Üzer,36502,408
yükselmek,36500,409
model,36472,410
belediye,36443,411
sunmak,36351,412
yok,36347,413
John,36319,414
Anne,36044,415
satmak,35992,416
karmak,35962,417
lider,35919,418
çekilmek,35823,419
belirtmek,35807,420
Roma,35509,421
çıkarmak,35505,422
çoğu,35451,423
fakülte,35235,424
madde,35100,425
Yahudi,34975,426
paşa,34961,427
bilinen,34893,428
sonunda,34887,429
üçüncü,34781,430
kontrol,34721,431
ulaşmak,34659,432
Ay,34629,433
yüz,34565,434
geçen,34420,435
asıl,34367,436
olur,34366,437
York,34166,438
ifade,34040,439
anmak,34014,440
tip,33979,441
birim,33922,442
dergi,33881,443
tekrar,33821,444
hak,33800,445
kitap,33770,446
tv,33714,447
saat,33672,448
nokta,33661,449
inşa,33566,450
sanmak,33440,451
Afrika,33379,452
çekmek,33216,453
yerleşim,33207,454
sosyal,33169,455
yıldız,33168,456
siyasî,32786,457
aşağı,32701,458
sır,32693,459
birleşmek,32608,460
tam,32599,461
Meclis,32433,462
taraf,32255,463
kuruluş,32237,464
mücadele,32206,465
beledi,32132,466
öğrenim,32057,467
resim,32038,468
kulüp,31917,469
değişik,31814,470
Yi,31700,471
derece,31688,472
bırakmak,31617,473
artmak,31540,474
arkadaş,31515,475
silâh,31514,476
kaybetmek,31420,477
an,31385,478
hafta,31312,479
renk,31198,480
proje,31157,481
bey,31093,482
dağ,31087,483
üretim,31003,484
bakan,30893,485
kullanım,30767,486
öğrenci,30680,487
toplum,30608,488
adlanmak,30561,489
beyaz,30469,490
giymek,30251,491
To,30236,492
profesyonel,29915,493
Asya,29910,494
yine,29884,495
yerel,29882,496
Azerbaycan,29842,497
açıklamak,29834,498
Paris,29820,499
müze,29795,500
Seri,29729,501
hastalık,29588,502
hukuk,29583,503
beş,29577,504
gelenek,29569,505
te,29493,506
savunmak,29457,507
uçak,29446,508
dilmek,29407,509
itibaren,29404,510
fizik,29367,511
sahne,29319,512
düşünmek,29188,513
göndermek,29143,514
le,29127,515
Saha,29069,516
araştırma,29042,517
bina,29030,518
Anadol,28983,519
veri,28879,520
kara,28819,521
ürün,28801,522
süre,28766,523
iddia,28728,524
yayın,28724,525
lise,28698,526
kurul,28685,527
iz,28677,528
yerleşmek,28674,529
numara,28634,530
bütün,28554,531
meydan,28505,532
bulmak,28454,533
Web,28422,534
içeri,28350,535
örnek,28319,536
Polonya,28286,537
League,28278,538
tamam,28216,539
Krallık,28162,540
tanımlamak,28102,541
hat,28096,542
konuşmak,28061,543
mısır,28026,544
plan,27942,545
festival,27873,546
edebiyat,27794,547
motor,27679,548
bin,27630,549
tanrı,27624,550
bel,27602,551
arka,27506,552
enerji,27398,553
form,27381,554
kayıt,27333,555
Japonya,27240,556
cinsî,27185,557
sağ,27163,558
bakanlık,27078,559
açı,27073,560
sonuçlamak,26933,561
öldürmek,26790,562
mevcut,26705,563
biçim,26675,564
akademi,26490,565
ben,26451,566
emir,26355,567
ortak,26299,568
ay,26291,569
temsil,26278,570
bitki,26278,571
birbiri,26129,572
Japon,26088,573
şiir,26041,574
müzik,26022,575
dolayı,26009,576
araştırmak,26002,577
metre,25975,578
katılım,25931,579
dönüşmek,25829,580
yaygın,25796,581
seçi,25776,582
say,25720,583
karar,25701,584
faaliyet,25696,585
Araç,25653,586
ölü,25597,587
etkin,25525,588
durmak,25523,589
çap,25446,590
tamamlamak,25435,591
mühendis,25389,592
itibarıyla,25300,593
şey,25158,594
kadro,25138,595
performans,25072,596
örneğin,25055,597
park,25053,598
For,25050,599
topluluk,25043,600
kanal,25014,601
tan,24975,602
göz,24962,603
Avusturya,24960,604
bugün,24952,605
se,24887,606
mezun,24879,607
politika,24856,608
mö,24833,609
beraber,24831,610
kilise,24822,611
Yöntem,24726,612
Tbmm,24714,613
modern,24657,614
ses,24638,615
boy,24553,616
yoğun,24532,617
süper,24425,618
Avustralya,24391,619
esmek,24349,620
hikâye,24337,621
yarmak,24328,622
gemi,24297,623
yaymak,24181,624
bunamak,24092,625
Mehmet,24086,626
geniş,24011,627
is,24008,628
mezar,23905,629
bilim,23841,630
Hakk,23812,631
turnuva,23812,632
Erkek,23785,633
bağlamak,23752,634
atamak,23730,635
hemen,23719,636
benzer,23689,637
anlatmak,23681,638
muharebe,23658,639
nehir,23631,640
çıkış,23590,641
var,23543,642
roman,23492,643
herhangi,23448,644
aramak,23441,645
basmak,23408,646
serbest,23394,647
transfer,23352,648
yunmak,23305,649
dayanmak,23300,650
haber,23224,651
kıyı,23198,652
etkilemek,23155,653
ticaret,23089,654
güvenlik,23071,655
başkent,23055,656
sulta,23004,657
adalet,22868,658
yıllık,22800,659
ilân,22799,660
kaydetmek,22780,661
keşfetmek,22779,662
Eurovision,22778,663
Bizans,22731,664
imek,22697,665
Ukrayna,22693,666
böylece,22597,667
dal,22531,668
çift,22524,669
piyasa,22475,670
doktor,22445,671
ermek,22383,672
teknoloji,22365,673
pek,22294,674
ekonomi,22267,675
karşılık,22208,676
puan,22197,677
güzel,22167,678
ki,22144,679
Han,22129,680
köken,22075,681
bilgisayar,22067,682
göl,22046,683
vali,22013,684
seslenmek,22004,685
Güneş,21999,686
komuta,21954,687
hücre,21830,688
sporcu,21804,689
başbakan,21632,690
Mustafa,21561,691
işlemek,21551,692
Londra,21525,693
Sing,21397,694
teori,21379,695
başlangıç,21246,696
güçlü,21151,697
uygun,21083,698
ölçü,21065,699
Suri,21042,700
yasmak,20845,701
dikkat,20827,702
Uzay,20795,703
Sağlık,20782,704
sürdürmek,20759,705
Müslüman,20756,706
gösteri,20729,707
ekonomik,20720,708
evlenmek,20712,709
işgal,20688,710
No,20664,711
matematik,20658,712
center,20632,713
ak,20590,714
si,20584,715
müdür,20541,716
anlaşmak,20518,717
taş,20492,718
al,20409,719
ceza,20392,720
tespit,20369,721
enstitü,20340,722
yani,20336,723
imzalamak,20327,724
korumak,20297,725
gece,20271,726
hiçbir,20251,727
sayfa,20249,728
katmak,20226,729
sol,20223,730
hazır,20206,731
dernek,20174,732
Yunanistan,20108,733
Değer,20024,734
yalnızca,19997,735
kuş,19997,736
şair,19952,737
üremek,19841,738
ekip,19829,739
bağlantı,19825,740
nü,19759,741
düşük,19741,742
erken,19697,743
geçmiş,19610,744
işlem,19610,745
Britanya,19606,746
milliyet,19578,747
Güney,19560,748
öğreti,19506,749
çatışmak,19500,750
Rock,19443,751
oluşum,19439,752
doğal,19426,753
David,19376,754
taşınmak,19376,755
büyümek,19291,756
sefer,19251,757
oldukça,19245,758
antik,19238,759
radyo,19235,760
Ni,19231,761
yabancı,19187,762
yenmek,19179,763
yanında,19114,764
çünkü,19102,765
Birlik,19086,766
örgüt,19064,767
William,19036,768
canlanmak,19006,769
millet,18995,770
stüdyo,18953,771
Holland,18936,772
kanmak,18919,773
dır,18885,774
hız,18797,775
başarmak,18786,776
Portekiz,18742,777
tartışmak,18716,778
versiyon,18707,779
cihaz,18703,780
arap,18648,781
general,18619,782
tarz,18617,783
Ermeni,18599,784
Elektrik,18562,785
yazılı,18560,786
akmak,18484,787
çizgi,18458,788
boyut,18414,789
kana,18359,790
Van,18347,791
Taki,18333,792
Ahmet,18319,793
sebep,18318,794
tutmak,18281,795
saymak,18258,796
yaratmak,18251,797
James,18228,798
hızlı,18201,799
tamamen,18173,800
izlemek,18144,801
Li,18116,802
komedi,18063,803
boş,18062,804
desteklemek,18051,805
seviye,18050,806
kaymak,17949,807
orman,17878,808
planlamak,17858,809
Uefa,17848,810
Kıbrıs,17845,811
hanedan,17834,812
ağırlık,17808,813
Michael,17806,814
âdet,17795,815
ders,17788,816
Windows,17782,817
imparator,17752,818
par,17746,819
katkı,17729,820
devir,17702,821
müzisyen,17699,822
Dr,17683,823
uzunluk,17681,824
Kore,17678,825
okumak,17676,826
sık,17665,827
ateş,17640,828
dakika,17633,829
popüler,17612,830
bitirmek,17579,831
temsilci,17558,832
Cm,17511,833
yürütmek,17510,834
metal,17475,835
tablo,17466,836
Robert,17457,837
öğretmen,17433,838
kur,17414,839
Left,17397,840
seçmek,17389,841
ayrı,17367,842
tasar,17363,843
World,17330,844
ağır,17325,845
fotoğraf,17319,846
canlı,17275,847
üstlenmek,17268,848
yüzey,17232,849
kırmızı,17229,850
unvan,17224,851
pop,17200,852
tedavi,17097,853
takip,17077,854
sıralamak,17034,855
Hristiyan,17025,856
normal,17024,857
Civil,16980,858
galâksi,16945,859
iken,16934,860
kötü,16900,861
senaryo,16895,862
milletvekil,16884,863
yana,16795,864
do,16776,865
malzeme,16737,866
kelime,16726,867
uyarlamak,16637,868
ortalama,16629,869
milletvekili,16628,870
sorun,16597,871
kavram,16583,872
konsey,16565,873
klâsik,16561,874
kişilik,16561,875
Hindistan,16541,876
satış,16539,877
artık,16498,878
kurgu,16459,879
pozisyon,16444,880
ilerlemek,16442,881
felsefe,16441,882
bitmek,16408,883
Fenerbahçe,16374,884
Berlin,16364,885
orijinal,16331,886
tar,16315,887
miktar,16309,888
barışmak,16290,889
tıp,16256,890
Parish,16250,891
demokratik,16235,892
bile,16225,893
cephe,16168,894
konser,16145,895
Belçika,16137,896
hastane,16098,897
yolcu,16095,898
beste,16057,899
lisans,16007,900
City,15969,901
yönetim,15964,902
burmak,15954,903
Paul,15935,904
gelecek,15930,905
Kapsam,15923,906
yönelik,15913,907
sayım,15853,908
kol,15833,909
dans,15819,910
koymak,15800,911
dinî,15778,912
stadyum,15776,913
Meksika,15761,914
tasarlamak,15752,915
duvar,15747,916
yerli,15743,917
yarış,15731,918
İnsa,15725,919
metîn,15723,920
Norveç,15692,921
adamak,15686,922
toplamak,15682,923
ressam,15676,924
ilgi,15670,925
polis,15658,926
tane,15631,927
ağaç,15576,928
İnternet,15573,929
aşk,15569,930
yedi,15553,931
klip,15515,932
görüntü,15501,933
dördüncü,15484,934
voleybol,15468,935
George,15465,936
süreç,15437,937
Galatasaray,15424,938
dinmek,15395,939
belirli,15391,940
komünist,15342,941
forma,15340,942
varlık,15327,943
duymak,15313,944
yazı,15289,945
kütüphane,15284,946
sürekli,15280,947
hükümdar,15251,948
kalkınmak,15242,949
los,15240,950
You,15231,951
önemek,15230,952
ileri,15227,953
kasaba,15215,954
eşit,15191,955
köprü,15178,956
siyah,15171,957
Düzey,15167,958
yetişmek,15153,959
fikir,15142,960
yaz,15122,961
kır,15112,962
Akdeniz,15110,963
otomobil,15097,964
sürülmek,15092,965
vokal,15076,966
cami,15043,967
hedef,15026,968
dair,15009,969
gitar,15007,970
By,15004,971
vatandaş,14998,972
şiddet,14959,973
Muhammed,14952,974
yetenek,14943,975
Brezilya,14939,976
Kanu,14933,977
çevirmek,14844,978
kap,14836,979
hâlâ,14834,980
Saint,14793,981
itmek,14790,982
seçmen,14772,983
zamanlamak,14758,984
reddetmek,14739,985
medya,14735,986
kaynak,14729,987
kamu,14727,988
kayıp,14727,989
yayılmak,14725,990
kuşatmak,14668,991
profil,14640,992
kont,14625,993
genişlemek,14608,994
ziyaret,14577,995
Gürcistan,14575,996
komün,14562,997
as,14528,998
suç,14488,999
kurtulmak,14474,1000
kural,14469,1001
federasyon,14467,1002
Von,14443,1003
bildirmek,14433,1004
defa,14430,1005
arjantin,14412,1006
telefon,14412,1007
Kö,14399,1008
With,14389,1009
gizli,14370,1010
oda,14361,1011
düşman,14351,1012
azalmak,14327,1013
prens,14310,1014
profesör,14308,1015
girişmek,14291,1016
eğer,14284,1017
bazen,14277,1018
salon,14257,1019
istasyon,14250,1020
inanmak,14234,1021
aşama,14225,1022
mahkeme,14204,1023
kişisel,14192,1024
Love,14157,1025
giriş,14153,1026
Charles,14147,1027
aranmak,14140,1028
doğrudan,14131,1029
ihtiyaç,14129,1030
evlilik,14129,1031
opera,14125,1032
deney,14053,1033
kemal,14021,1034
kg,14015,1035
yumak,14015,1036
cisim,14012,1037
km²,14003,1038
görüş,13995,1039
komutan,13984,1040
kolay,13975,1041
Kaliforniya,13955,1042
parlâmento,13951,1043
sivil,13930,1044
adına,13927,1045
kurum,13924,1046
St,13923,1047
liga,13866,1048
bilimsel,13864,1049
cumhurbaşkanı,13862,1050
öğrenmek,13837,1051
standart,13826,1052
kategori,13812,1053
ince,13791,1054
sanayi,13777,1055
mi,13763,1056
eylem,13744,1057
antlaşma,13742,1058
Peter,13733,1059
sıcaklık,13721,1060
hiç,13717,1061
duyurmak,13683,1062
hit,13661,1063
dram,13656,1064
rakip,13651,1065
sözcük,13650,1066
geçersiz,13628,1067
komite,13613,1068
idarî,13580,1069
Moskova,13578,1070
şimdi,13575,1071
idare,13538,1072
nasıl,13512,1073
donanmak,13503,1074
ter,13492,1075
uğramak,13465,1076
kor,13440,1077
talep,13436,1078
mimarî,13429,1079
Macaristan,13427,1080
görünmek,13410,1081
Banka,13407,1082
sosyalist,13401,1083
makale,13383,1084
galeri,13381,1085
kanat,13362,1086
daire,13329,1087
kapı,13316,1088
America,13312,1089
gümüş,13311,1090
bayrak,13287,1091
yukarı,13259,1092
test,13252,1093
Jean,13245,1094
kahraman,13228,1095
göçmek,13210,1096
Başar,13202,1097
kongre,13187,1098
yeşil,13186,1099
mümkün,13180,1100
Beşiktaş,13154,1101
Nazi,13132,1102
isyan,13123,1103
başlık,13118,1104
tahmin,13112,1105
güreş,13111,1106
kaldırmak,13103,1107
gerekli,13084,1108
kaçmak,13035,1109
zengin,13022,1110
anayasa,13011,1111
takımyıldız,13005,1112
akıl,12992,1113
zafer,12957,1114
Süreç,12949,1115
pazar,12937,1116
saray,12925,1117
mutfak,12924,1118
günlük,12915,1119
kutsal,12903,1120
gelişim,12896,1121
University,12877,1122
aktif,12868,1123
arazi,12853,1124
çağ,12812,1125
Me,12786,1126
kalp,12784,1127
gaz,12781,1128
kim,12749,1129
değmek,12741,1130
dolmak,12727,1131
Kürt,12714,1132
sayesinde,12711,1133
yaramak,12693,1134
komisyon,12655,1135
eleştiri,12655,1136
eleştirmen,12611,1137
çeviri,12606,1138
civar,12594,1139
dağılım,12591,1140
platform,12564,1141
Mm,12531,1142
sit,12514,1143
harf,12438,1144
yürümek,12437,1145
başrol,12402,1146
Records,12389,1147
sergilemek,12386,1148
uç,12371,1149
statü,12366,1150
Press,12333,1151
Balık,12324,1152
ticarî,12302,1153
oran,12295,1154
Grand,12280,1155
hatta,12225,1156
çağmak,12217,1157
art,12214,1158
Angeles,12202,1159
marka,12202,1160
rekor,12195,1161
not,12194,1162
Dalga,12172,1163
içerik,12156,1164
çoğunlukla,12151,1165
kültürel,12146,1166
örümcek,12135,1167
öykü,12124,1168
evre,12115,1169
vücut,12093,1170
From,12087,1171
teklif,12068,1172
yoluyla,12058,1173
tanım,12057,1174
ti,12055,1175
dışiş,12049,1176
gerek,12038,1177
sorumlu,12033,1178
Richard,12028,1179
tesis,12010,1180
sarı,12006,1181
kapsamak,11988,1182
My,11983,1183
patlamak,11960,1184
demir,11959,1185
ruh,11956,1186
Katolik,11952,1187
Thomas,11931,1188
araba,11925,1189
analiz,11908,1190
değişim,11901,1191
işaret,11893,1192
Fransızca,11878,1193
özgürlük,11851,1194
sevmek,11849,1195
yüzölçümü,11820,1196
açıklama,11807,1197
Chp,11799,1198
ulus,11793,1199
mimar,11792,1200
çıkma,11781,1201
rapor,11779,1202
forvet,11770,1203
çeşit,11770,1204
mark,11724,1205
davranış,11711,1206
operasyon,11702,1207
neredeyse,11689,1208
yük,11685,1209
hasa,11684,1210
Bask,11682,1211
bisiklet,11682,1212
yıllamak,11671,1213
vadi,11651,1214
mektup,11650,1215
anlaşma,11643,1216
Nişan,11634,1217
Mad,11633,1218
zarar,11619,1219
efendi,11616,1220
Gürcü,11600,1221
Trabzon,11585,1222
kış,11581,1223
diye,11573,1224
güreşmek,11569,1225
bahsetmek,11559,1226
Microsoft,11550,1227
United,11536,1228
sırasıyla,11520,1229
engel,11477,1230
kraliyet,11430,1231
fabrika,11421,1232
darbe,11411,1233
can,11404,1234
heykel,11403,1235
atılmak,11399,1236
büyükelçi,11392,1237
biz,11380,1238
etraf,11379,1239
firma,11353,1240
cilt,11340,1241
paylaşmak,11338,1242
konferans,11335,1243
kadı,11335,1244
kule,11335,1245
tercih,11324,1246
sürü,11307,1247
yorum,11306,1248
tehlike,11300,1249
notlamak,11290,1250
fonksiyon,11289,1251
adam,11265,1252
aslında,11258,1253
sekreter,11254,1254
toplantı,11249,1255
star,11247,1256
gezegen,11234,1257
Hüseyin,11221,1258
mavi,11217,1259
kamp,11206,1260
birey,11199,1261
sekiz,11197,1262
bölmek,11188,1263
County,11167,1264
kat,11148,1265
beşinci,11138,1266
organizasyon,11132,1267
kemer,11127,1268
Atatürk,11086,1269
belirlemek,11082,1270
aziz,11079,1271
istek,11068,1272
Belge,11068,1273
seri,11067,1274
donmak,11067,1275
demokrat,11065,1276
bot,11050,1277
Hint,11049,1278
hesap,11041,1279
Louis,11013,1280
uzanmak,11012,1281
Işık,11006,1282
ivmek,11002,1283
Yay,10997,1284
kod,10992,1285
havalimanı,10957,1286
yermek,10948,1287
dolayısıyla,10943,1288
Man,10942,1289
Bulgaristan,10941,1290
Henry,10938,1291
söylenmek,10929,1292
bahçe,10919,1293
kuru,10885,1294
tema,10883,1295
hazırlamak,10881,1296
mesafe,10864,1297
tank,10861,1298
tutulmak,10861,1299
Ulaş,10845,1300
org,10843,1301
evli,10837,1302
Marti,10828,1303
çalmak,10820,1304
başta,10816,1305
altyapı,10815,1306
subay,10815,1307
koşul,10803,1308
nesne,10797,1309
Kilis,10796,1310
kanser,10788,1311
cinsel,10769,1312
bölgesel,10764,1313
belgesel,10763,1314
aydın,10761,1315
terk,10751,1316
ücret,10735,1317
Des,10730,1318
savaşmak,10730,1319
Arapça,10729,1320
Osma,10724,1321
önermek,10720,1322
çoğunluk,10716,1323
delmek,10712,1324
soru,10692,1325
sabit,10675,1326
düzen,10664,1327
üs,10655,1328
ilâ,10653,1329
düşünce,10634,1330
All,10624,1331
meslek,10612,1332
ge,10605,1333
One,10604,1334
lif,10602,1335
anıt,10601,1336
Sırp,10592,1337
Play,10579,1338
kenar,10579,1339
değerlendirmek,10573,1340
Danimarka,10555,1341
teleskop,10553,1342
tümen,10531,1343
yağmak,10530,1344
elektronik,10529,1345
papa,10489,1346
halka,10488,1347
uçmak,10472,1348
geçici,10470,1349
ayaklanmak,10461,1350
sayılı,10457,1351
makine,10423,1352
basit,10416,1353
korku,10407,1354
yıkmak,10406,1355
Okyanus,10402,1356
turizm,10387,1357
vakıf,10370,1358
hasta,10349,1359
kazmak,10348,1360
sergi,10346,1361
defans,10342,1362
harekât,10340,1363
kimlik,10339,1364
devre,10334,1365
buz,10333,1366
Duygu,10313,1367
aşırı,10306,1368
organ,10304,1369
U,10302,1370
kart,10290,1371
kızıl,10289,1372
tren,10288,1373
inç,10265,1374
Nba,10264,1375
suçlamak,10263,1376
şöyle,10260,1377
işlev,10235,1378
Black,10230,1379
post,10214,1380
geçer,10210,1381
sunucu,10210,1382
mitoloji,10208,1383
pilot,10198,1384
kesin,10197,1385
incelemek,10177,1386
Erzurum,10150,1387
taban,10144,1388
bronz,10133,1389
teslim,10111,1390
tanışmak,10077,1391
hafif,10073,1392
sur,10061,1393
egemen,10056,1394
emekli,10053,1395
Lima,10035,1396
semt,10026,1397
siz,10017,1398
iletişim,9997,1399
belli,9993,1400
böyle,9989,1401
aracı,9980,1402
astronom,9978,1403
aracılığıyla,9977,1404
Almanca,9975,1405
onur,9974,1406
Antalya,9972,1407
çıkışmak,9969,1408
imza,9966,1409
ekmek,9964,1410
görüşmek,9940,1411
dijital,9937,1412
Venedik,9915,1413
yakalamak,9913,1414
Tour,9898,1415
etnik,9888,1416
sahil,9884,1417
belde,9877,1418
çekirdek,9877,1419
kapasite,9872,1420
müsabaka,9864,1421
girişim,9846,1422
önceleri,9828,1423
tehdit,9792,1424
Brezilyalı,9780,1425
kriz,9778,1426
ok,9768,1427
kolej,9765,1428
Vergi,9756,1429
tasarım,9742,1430
Lee,9741,1431
tapınak,9737,1432
gökyüzü,9734,1433
endüstri,9734,1434
avukat,9726,1435
uyum,9725,1436
yavaş,9720,1437
Süleyman,9719,1438
sektör,9700,1439
sözleşmek,9693,1440
mal,9692,1441
ayırmak,9692,1442
Die,9689,1443
sonuçlanmak,9683,1444
öncü,9678,1445
dosya,9677,1446
demiryolu,9666,1447
Etap,9659,1448
mil,9654,1449
camii,9653,1450
kimyasal,9653,1451
Romanya,9650,1452
Nehir,9641,1453
